TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;ID_SUBCLASSE;DENOM_SOCIAL;DT_COMPTC;ANO_RENTAB;PR_RENTAB_ANO;PR_VARIACAO_INDICE_REFER_ANO;PR_PERFM_INDICE_REFER_ANO;RENTAB_ANO_OBS
CLASSES - FIF;00.306.278/0001-91;;BRADESCO FIC DE FI FINANCEIRO RENDA FIXA REFERENCIADA DI - RESPONSABILIDADE LIMITADA;2025-04-30;2021;4.42;4.40;100.63;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
CLASSES - FIF;00.306.278/0001-91;;BRADESCO FIC DE FI FINANCEIRO RENDA FIXA REFERENCIADA DI - RESPONSABILIDADE LIMITADA;2025-04-30;2022;12.46;12.37;100.71;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
CLASSES - FIF;00.306.278/0001-91;;BRADESCO FIC DE FI FINANCEIRO RENDA FIXA REFERENCIADA DI - RESPONSABILIDADE LIMITADA;2025-04-30;2023;13.00;13.05;99.65;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
CLASSES - FIF;00.306.278/0001-91;;BRADESCO FIC DE FI FINANCEIRO RENDA FIXA REFERENCIADA DI - RESPONSABILIDADE LIMITADA;2025-04-30;2024;10.88;10.87;100.03;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
CLASSES - FIF;00.306.278/0001-91;;BRADESCO FIC DE FI FINANCEIRO RENDA FIXA REFERENCIADA DI - RESPONSABILIDADE LIMITADA;2025-04-30;2025;4.01;4.07;98.52;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
FI;00.322.699/0001-06;;BRADESCO H FIF - CLASSE DE INVESTIMENTO RF REFERENCIADA DI CRED PRIV LP EXECUTIVO - RESP LIMITADA;2025-04-30;2021;5.50;4.40;125.15;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
FI;00.322.699/0001-06;;BRADESCO H FIF - CLASSE DE INVESTIMENTO RF REFERENCIADA DI CRED PRIV LP EXECUTIVO - RESP LIMITADA;2025-04-30;2022;13.36;12.37;107.94;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
FI;00.322.699/0001-06;;BRADESCO H FIF - CLASSE DE INVESTIMENTO RF REFERENCIADA DI CRED PRIV LP EXECUTIVO - RESP LIMITADA;2025-04-30;2023;14.00;13.05;107.33;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
FI;00.322.699/0001-06;;BRADESCO H FIF - CLASSE DE INVESTIMENTO RF REFERENCIADA DI CRED PRIV LP EXECUTIVO - RESP LIMITADA;2025-04-30;2024;11.65;10.87;107.10;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
FI;00.322.699/0001-06;;BRADESCO H FIF - CLASSE DE INVESTIMENTO RF REFERENCIADA DI CRED PRIV LP EXECUTIVO - RESP LIMITADA;2025-04-30;2025;4.18;4.07;102.64;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
CLASSES - FIF;00.598.452/0001-17;;MB MASTER RF REFERENCIADO DI LP FUNDO DE INVESTIMENTO FINANCEIRO - RESPONSABILIDADE LIMITADA;2025-04-30;2021;4.83;4.40;109.97;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
CLASSES - FIF;00.598.452/0001-17;;MB MASTER RF REFERENCIADO DI LP FUNDO DE INVESTIMENTO FINANCEIRO - RESPONSABILIDADE LIMITADA;2025-04-30;2022;12.42;12.37;100.36;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
CLASSES - FIF;00.598.452/0001-17;;MB MASTER RF REFERENCIADO DI LP FUNDO DE INVESTIMENTO FINANCEIRO - RESPONSABILIDADE LIMITADA;2025-04-30;2023;15.36;13.05;117.74;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
CLASSES - FIF;00.598.452/0001-17;;MB MASTER RF REFERENCIADO DI LP FUNDO DE INVESTIMENTO FINANCEIRO - RESPONSABILIDADE LIMITADA;2025-04-30;2024;12.49;10.87;114.90;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
CLASSES - FIF;00.598.452/0001-17;;MB MASTER RF REFERENCIADO DI LP FUNDO DE INVESTIMENTO FINANCEIRO - RESPONSABILIDADE LIMITADA;2025-04-30;2025;3.95;4.07;96.90;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
FI;00.743.026/0001-20;;BANRISUL VIP FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA LONGO PRAZO RESPONSABILIDADE LIMITADA;2025-04-30;2021;2.84;4.39;64.71;
FI;00.743.026/0001-20;;BANRISUL VIP FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA LONGO PRAZO RESPONSABILIDADE LIMITADA;2025-04-30;2022;10.86;12.37;87.84;
FI;00.743.026/0001-20;;BANRISUL VIP FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA LONGO PRAZO RESPONSABILIDADE LIMITADA;2025-04-30;2023;11.31;13.04;86.74;
FI;00.743.026/0001-20;;BANRISUL VIP FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA LONGO PRAZO RESPONSABILIDADE LIMITADA;2025-04-30;2024;9.08;10.87;83.59;
FI;00.743.026/0001-20;;BANRISUL VIP FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA LONGO PRAZO RESPONSABILIDADE LIMITADA;2025-04-30;2025;3.60;4.07;88.48;
CLASSES - FIF;00.777.815/0001-81;;BRADESCO H FC DE FUNDO DE INVESTIMENTO FINANCEIRO RF REF DI LP FUNCIONÁRIO - RESP LIMITADA;2025-04-30;2021;4.08;4.40;92.90;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
CLASSES - FIF;00.777.815/0001-81;;BRADESCO H FC DE FUNDO DE INVESTIMENTO FINANCEIRO RF REF DI LP FUNCIONÁRIO - RESP LIMITADA;2025-04-30;2022;11.99;12.37;96.90;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
CLASSES - FIF;00.777.815/0001-81;;BRADESCO H FC DE FUNDO DE INVESTIMENTO FINANCEIRO RF REF DI LP FUNCIONÁRIO - RESP LIMITADA;2025-04-30;2023;12.57;13.05;96.33;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
CLASSES - FIF;00.777.815/0001-81;;BRADESCO H FC DE FUNDO DE INVESTIMENTO FINANCEIRO RF REF DI LP FUNCIONÁRIO - RESP LIMITADA;2025-04-30;2024;10.39;10.87;95.56;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
CLASSES - FIF;00.777.815/0001-81;;BRADESCO H FC DE FUNDO DE INVESTIMENTO FINANCEIRO RF REF DI LP FUNCIONÁRIO - RESP LIMITADA;2025-04-30;2025;3.90;4.07;95.89;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
CLASSES - FIF;00.793.947/0001-05;;BRADESCO VÊNUS FIF - CLASSE DE INVESTIMENTO EM COTAS RENDA FIXA - RESPONSABILIDADE LIMITADA;2025-04-30;2021;2.71;4.40;61.59;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
CLASSES - FIF;00.793.947/0001-05;;BRADESCO VÊNUS FIF - CLASSE DE INVESTIMENTO EM COTAS RENDA FIXA - RESPONSABILIDADE LIMITADA;2025-04-30;2022;11.00;12.37;88.87;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
CLASSES - FIF;00.793.947/0001-05;;BRADESCO VÊNUS FIF - CLASSE DE INVESTIMENTO EM COTAS RENDA FIXA - RESPONSABILIDADE LIMITADA;2025-04-30;2023;11.09;13.05;84.99;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
CLASSES - FIF;00.793.947/0001-05;;BRADESCO VÊNUS FIF - CLASSE DE INVESTIMENTO EM COTAS RENDA FIXA - RESPONSABILIDADE LIMITADA;2025-04-30;2024;7.88;10.87;72.47;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
CLASSES - FIF;00.793.947/0001-05;;BRADESCO VÊNUS FIF - CLASSE DE INVESTIMENTO EM COTAS RENDA FIXA - RESPONSABILIDADE LIMITADA;2025-04-30;2025;3.51;4.07;86.14;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
FI;00.807.777/0001-62;;DAYCOVAL RENDA FIXA FUNDO DE INVESTIMENTO FINANCEIRO;2025-04-30;2021;4.73;4.40;107.50;
FI;00.807.777/0001-62;;DAYCOVAL RENDA FIXA FUNDO DE INVESTIMENTO FINANCEIRO;2025-04-30;2022;12.52;12.37;101.21;
FI;00.807.777/0001-62;;DAYCOVAL RENDA FIXA FUNDO DE INVESTIMENTO FINANCEIRO;2025-04-30;2023;12.78;13.05;97.93;
FI;00.807.777/0001-62;;DAYCOVAL RENDA FIXA FUNDO DE INVESTIMENTO FINANCEIRO;2025-04-30;2024;10.87;10.87;100.00;
FI;00.807.777/0001-62;;DAYCOVAL RENDA FIXA FUNDO DE INVESTIMENTO FINANCEIRO;2025-04-30;2025;4.16;4.07;102.21;
CLASSES - FIF;00.809.773/0001-13;;BRADESCO H FIF - CLASSE DE INVESTIMENTO EM COTAS RENDA FIXA CURTO PRAZO OVER - RESP LIMITADA;2025-04-30;2021;2.38;4.40;54.13;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
CLASSES - FIF;00.809.773/0001-13;;BRADESCO H FIF - CLASSE DE INVESTIMENTO EM COTAS RENDA FIXA CURTO PRAZO OVER - RESP LIMITADA;2025-04-30;2022;9.47;12.37;76.55;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
CLASSES - FIF;00.809.773/0001-13;;BRADESCO H FIF - CLASSE DE INVESTIMENTO EM COTAS RENDA FIXA CURTO PRAZO OVER - RESP LIMITADA;2025-04-30;2023;10.49;13.05;80.44;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
CLASSES - FIF;00.809.773/0001-13;;BRADESCO H FIF - CLASSE DE INVESTIMENTO EM COTAS RENDA FIXA CURTO PRAZO OVER - RESP LIMITADA;2025-04-30;2024;8.47;10.87;77.92;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
CLASSES - FIF;00.809.773/0001-13;;BRADESCO H FIF - CLASSE DE INVESTIMENTO EM COTAS RENDA FIXA CURTO PRAZO OVER - RESP LIMITADA;2025-04-30;2025;3.39;4.07;83.23;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
CLASSES - FIF;00.824.198/0001-28;;BRADESCO FC DE FUNDO DE INVESTIMENTO FINANCEIRO RF REF DI FEDERAL - RESP LIMITADA;2025-04-30;2021;3.29;4.40;74.79;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
CLASSES - FIF;00.824.198/0001-28;;BRADESCO FC DE FUNDO DE INVESTIMENTO FINANCEIRO RF REF DI FEDERAL - RESP LIMITADA;2025-04-30;2022;10.83;12.37;87.50;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
CLASSES - FIF;00.824.198/0001-28;;BRADESCO FC DE FUNDO DE INVESTIMENTO FINANCEIRO RF REF DI FEDERAL - RESP LIMITADA;2025-04-30;2023;11.48;13.05;87.96;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
CLASSES - FIF;00.824.198/0001-28;;BRADESCO FC DE FUNDO DE INVESTIMENTO FINANCEIRO RF REF DI FEDERAL - RESP LIMITADA;2025-04-30;2024;9.33;10.87;85.78;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
CLASSES - FIF;00.824.198/0001-28;;BRADESCO FC DE FUNDO DE INVESTIMENTO FINANCEIRO RF REF DI FEDERAL - RESP LIMITADA;2025-04-30;2025;3.56;4.07;87.53;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
CLASSES - FIF;00.825.076/0001-56;;PRATICBEC FIF - CLASSE DE INVESTIMENTO RF CURTO PRAZO - RESPONSABILIDADE LIMITADA;2025-04-30;2021;1.27;4.40;28.99;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
CLASSES - FIF;00.825.076/0001-56;;PRATICBEC FIF - CLASSE DE INVESTIMENTO RF CURTO PRAZO - RESPONSABILIDADE LIMITADA;2025-04-30;2022;8.94;12.37;72.27;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
CLASSES - FIF;00.825.076/0001-56;;PRATICBEC FIF - CLASSE DE INVESTIMENTO RF CURTO PRAZO - RESPONSABILIDADE LIMITADA;2025-04-30;2023;9.77;13.05;74.87;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
CLASSES - FIF;00.825.076/0001-56;;PRATICBEC FIF - CLASSE DE INVESTIMENTO RF CURTO PRAZO - RESPONSABILIDADE LIMITADA;2025-04-30;2024;7.73;10.87;71.08;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
CLASSES - FIF;00.825.076/0001-56;;PRATICBEC FIF - CLASSE DE INVESTIMENTO RF CURTO PRAZO - RESPONSABILIDADE LIMITADA;2025-04-30;2025;3.16;4.07;77.63;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
FI;00.825.077/0001-09;;BECMAXI FI FINANCEIRO - CI RF - RESP LIMITADA;2025-04-30;2021;2.38;4.40;54.12;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
FI;00.825.077/0001-09;;BECMAXI FI FINANCEIRO - CI RF - RESP LIMITADA;2025-04-30;2022;10.23;12.37;82.66;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
FI;00.825.077/0001-09;;BECMAXI FI FINANCEIRO - CI RF - RESP LIMITADA;2025-04-30;2023;10.97;13.05;84.06;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
FI;00.825.077/0001-09;;BECMAXI FI FINANCEIRO - CI RF - RESP LIMITADA;2025-04-30;2024;8.72;10.87;80.16;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
FI;00.825.077/0001-09;;BECMAXI FI FINANCEIRO - CI RF - RESP LIMITADA;2025-04-30;2025;3.40;4.07;83.50;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
CLASSES - FIF;00.826.901/0001-37;;CS EVOLUTION DI FUNDO DE INVESTIMENTO EM COTAS DE FIF RENDA FIXA REFERENCIADO - RESP LIMITADA;2025-04-30;2021;3.87;4.40;88.05;
CLASSES - FIF;00.826.901/0001-37;;CS EVOLUTION DI FUNDO DE INVESTIMENTO EM COTAS DE FIF RENDA FIXA REFERENCIADO - RESP LIMITADA;2025-04-30;2022;11.84;12.37;95.70;
CLASSES - FIF;00.826.901/0001-37;;CS EVOLUTION DI FUNDO DE INVESTIMENTO EM COTAS DE FIF RENDA FIXA REFERENCIADO - RESP LIMITADA;2025-04-30;2023;11.64;13.05;89.24;
CLASSES - FIF;00.826.901/0001-37;;CS EVOLUTION DI FUNDO DE INVESTIMENTO EM COTAS DE FIF RENDA FIXA REFERENCIADO - RESP LIMITADA;2025-04-30;2024;9.76;10.87;89.74;
CLASSES - FIF;00.826.901/0001-37;;CS EVOLUTION DI FUNDO DE INVESTIMENTO EM COTAS DE FIF RENDA FIXA REFERENCIADO - RESP LIMITADA;2025-04-30;2025;3.83;4.07;94.04;
CLASSES - FIF;00.826.903/0001-26;;CSHG TOP FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO FINANCEIRO MULT RESP LIMITADA;2025-04-30;2021;0.84;4.40;19.01;
CLASSES - FIF;00.826.903/0001-26;;CSHG TOP FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO FINANCEIRO MULT RESP LIMITADA;2025-04-30;2022;16.22;12.37;131.10;
CLASSES - FIF;00.826.903/0001-26;;CSHG TOP FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO FINANCEIRO MULT RESP LIMITADA;2025-04-30;2023;11.38;13.05;87.18;
CLASSES - FIF;00.826.903/0001-26;;CSHG TOP FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO FINANCEIRO MULT RESP LIMITADA;2025-04-30;2024;3.92;10.87;36.02;
CLASSES - FIF;00.826.903/0001-26;;CSHG TOP FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO FINANCEIRO MULT RESP LIMITADA;2025-04-30;2025;4.68;4.07;114.98;
FI;00.829.163/0001-81;;BRADESCO FIF - CIC MULTI MULTIPERFORMANCE - RESP LIMITADA;2025-04-30;2021;0.12;4.40;2.76;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
FI;00.829.163/0001-81;;BRADESCO FIF - CIC MULTI MULTIPERFORMANCE - RESP LIMITADA;2025-04-30;2022;11.60;12.37;93.73;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
FI;00.829.163/0001-81;;BRADESCO FIF - CIC MULTI MULTIPERFORMANCE - RESP LIMITADA;2025-04-30;2023;11.47;13.05;87.91;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
FI;00.829.163/0001-81;;BRADESCO FIF - CIC MULTI MULTIPERFORMANCE - RESP LIMITADA;2025-04-30;2024;6.69;10.87;61.55;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
FI;00.829.163/0001-81;;BRADESCO FIF - CIC MULTI MULTIPERFORMANCE - RESP LIMITADA;2025-04-30;2025;3.37;4.07;82.76;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
CLASSES - FIF;00.832.453/0001-84;;CSHG DI FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA CURTO PRAZO - RESPONSABILIDADE LIMITADA;2025-04-30;2021;3.17;4.40;72.12;
CLASSES - FIF;00.832.453/0001-84;;CSHG DI FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA CURTO PRAZO - RESPONSABILIDADE LIMITADA;2025-04-30;2022;11.02;12.37;89.06;
CLASSES - FIF;00.832.453/0001-84;;CSHG DI FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA CURTO PRAZO - RESPONSABILIDADE LIMITADA;2025-04-30;2023;11.09;13.05;85.00;
CLASSES - FIF;00.832.453/0001-84;;CSHG DI FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA CURTO PRAZO - RESPONSABILIDADE LIMITADA;2025-04-30;2024;8.74;10.87;80.37;
CLASSES - FIF;00.832.453/0001-84;;CSHG DI FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA CURTO PRAZO - RESPONSABILIDADE LIMITADA;2025-04-30;2025;3.39;4.07;83.25;
